Date,Shipments
2011-01-01,100
2011-02-01,319
2011-03-01,247
2011-04-01,238
2011-05-01,214
2011-06-01,188
2011-07-01,195
2011-08-01,209
2011-09-01,241
2011-10-01,245
2011-11-01,231
2011-12-01,263
2012-01-01,251
2012-02-01,251
2012-03-01,259
2012-04-01,221
2012-05-01,248
2012-06-01,247
2012-07-01,288
2012-08-01,293
2012-09-01,302
2012-10-01,331
2012-11-01,372
2012-12-01,383
2013-01-01,395
2013-02-01,410
2013-03-01,416
2013-04-01,431
2013-05-01,460
2013-06-01,479
2013-07-01,478
2013-08-01,556
2013-09-01,546
2013-10-01,630
2013-11-01,642
2013-12-01,643
